"","sgUF","txNomeParlamentar","total.passageiros","total.vlrLiquido","gasto.medio.bilhete","quantidade.bilhetes"
"45","AC","JÉSSICA SALES",12,53589.02,1050.76509803922,51
"46","AC","ROCHA",12,61576.51,1099.58053571429,56
"47","CE","MOSES RODRIGUES",12,35210.35,475.81554054054,74
"48","CE","ODORICO MONTEIRO",12,47855.58,674.022253521127,71
"49","CE","RONALDO MARTINS",12,20977.98,395.810943396226,53
"50","RR","HIRAN GONÇALVES",12,43969.74,697.932380952381,63
"51","RS","AFONSO HAMM",12,91624.24,925.497373737374,99
"52","RS","JOÃO DERLY",12,34999.29,636.350727272727,55
"53","RS","MARCO MAIA",12,59882.47,1050.56964912281,57
"54","RS","SÉRGIO MORAES",12,92837.41,1221.54486842105,76
"55","SC","MAURO MARIANI",12,53355.41,498.648691588785,107
"56","SP","ALEXANDRE LEITE",12,76061.52,905.494285714286,84
"57","SP","BRUNA FURLAN",12,73040.48,689.061132075472,106
"58","SP","MARA GABRILLI",12,20639.79,368.567678571429,56
"59","SP","PR. MARCO FELICIANO",12,65784.31,522.097698412698,126
"60","AP","CABUÇU BORGES",11,23766.85,344.447101449275,69
"61","BA","ANTONIO BRITO",11,44269.72,325.512647058824,136
"62","BA","BEBETO",11,25171.76,359.596571428571,70
"63","CE","CHICO LOPES",11,37331.28,654.934736842105,57
"64","MG","LEONARDO MONTEIRO",11,65000.84,684.219368421053,95
"65","MG","REGINALDO LOPES",11,38762.25,635.446721311475,61
"66","PE","TADEU ALENCAR",11,34985.64,406.80976744186,86
"67","PR","DIEGO GARCIA",11,43246.84,576.624533333333,75
"68","RJ","ALEXANDRE VALLE",11,34022.21,523.418615384615,65
"69","RJ","CHICO ALENCAR",11,30375.97,706.417906976744,43
"70","RS","NELSON MARCHEZAN JUNIOR",11,70058.45,619.986283185841,113
"71","SP","WILLIAM WOO",11,39033.03,709.691454545455,55
"72","AP","ROBERTO GÓES",10,29588.56,389.323157894737,76
"73","MG","GABRIEL GUIMARÃES",10,55680.14,506.183090909091,110
"74","PB","HUGO MOTTA",10,28785.26,496.297586206897,58
"75","RJ","SÓSTENES CAVALCANTE",10,22700.04,354.688125,64
"76","RJ","WASHINGTON REIS",10,47780.92,508.307659574468,94
"77","RS","DANRLEI DE DEUS HINTERHOLZ",10,50607.27,595.379647058823,85
"78","SP","MARCELO SQUASSONI",10,53392.55,889.875833333333,60
"79","SP","RENATA ABREU",10,44844.69,582.398571428571,77
"80","BA","AFONSO FLORENCE",9,27837.12,488.370526315789,57
"81","BA","IRMÃO LAZARO",9,17470.12,317.638545454545,55
"82","CE","JOSÉ GUIMARÃES",9,28543.47,731.883846153846,39
"83","MA","WEVERTON ROCHA",9,15268.32,565.493333333333,27
"84","MG","ADELMO CARNEIRO LEÃO",9,33569.44,578.783448275862,58
"85","MG","BONIFÁCIO DE ANDRADA",9,55839.29,558.3929,100
"86","MG","SARAIVA FELIPE",9,52057.34,598.360229885057,87
"87","MS","VANDER LOUBET",9,30412.25,515.46186440678,59
"88","MT","NILSON LEITÃO",9,71127.38,592.728166666667,120
"89","PA","HÉLIO LEITE",9,25023.27,320.811153846154,78
"90","PR","MARCELO BELINATI",9,38126.7,811.206382978723,47
"91","RJ","DR. JOÃO",9,43219.55,584.047972972973,74
"92","RJ","HUGO LEAL",9,42790.49,807.367735849057,53
"93","RJ","INDIO DA COSTA",9,38945.42,865.453777777778,45
"94","RS","GIOVANI CHERINI",9,30090.85,510.014406779661,59
"95","RS","JOSÉ OTÁVIO GERMANO",9,35504.22,529.913731343284,67
"96","RS","OSMAR TERRA",9,39600.83,860.887608695652,46
"97","SP","ANA PERUGINI",9,31849.73,692.385434782609,46
"98","SP","DR. SINVAL MALHEIROS",9,41750.69,345.047024793388,121
"99","SP","ELI CORRÊA FILHO",9,45514.42,583.518205128205,78
"100","SP","GUILHERME MUSSI",9,73235.77,678.108981481481,108
"101","SP","VITOR LIPPI",9,35772.56,596.209333333333,60
"102","TO","LÁZARO BOTELHO",9,56557.02,589.135625,96
"103","AC","ANGELIM",8,42647.61,888.491875,48
"104","AC","SIBÁ MACHADO",8,34080.18,1420.0075,24
"105","AM","HISSA ABRAHÃO",8,38968.82,865.973777777778,45
"106","AP","MARCOS REATEGUI",8,22111.37,597.604594594595,37
"107","BA","ALICE PORTUGAL",8,33777.75,444.444078947368,76
"108","CE","VICENTE ARRUDA",8,37041.78,561.239090909091,66
"109","MG","EDUARDO BARBOSA",8,36356.48,526.905507246377,69
"110","MG","PADRE JOÃO",8,33070.06,570.173448275862,58
"111","MT","TAMPINHA",8,21330.25,444.380208333333,48
"112","MT","VALTENIR PEREIRA",8,52949.33,464.467807017544,114
"113","PA","JOAQUIM PASSARINHO",8,46661.63,496.400319148936,94
"114","PA","WLADIMIR COSTA",8,63985.83,789.948518518519,81
"115","PE","JARBAS VASCONCELOS",8,38242.25,562.386029411765,68
"116","PI","PAES LANDIM",8,67090.1,729.240217391304,92
"117","RJ","FERNANDO JORDÃO",8,39051.47,600.791846153846,65
"118","RJ","ZÉ AUGUSTO NALIN",8,28306.78,658.297209302326,43
"119","RO","LUCIO MOSQUINI",8,34937.45,743.35,47
"120","RS","HEITOR SCHUCH",8,31339.68,728.82976744186,43
"121","RS","MARIA DO ROSÁRIO",8,46132.94,1002.89,46
"122","SC","ESPERIDIÃO AMIN",8,56704.63,436.189461538462,130
"123","SE","ANDRE MOURA",8,49013.63,405.07132231405,121
